country	Code	Year	disordersM	disordersF	population
Argentina	ARG	2015	3.0698864	1.1703126	43257064
Argentina	ARG	2016	3.0404994	1.1649301	43668236
Argentina	ARG	2017	3.0162175	1.1608219	44054616
Argentina	ARG	2018	3.0435555	1.1692266	44413592
Argentina	ARG	2019	3.1084685	1.18869	44745516
Kenya	KEN	2015	0.7469638	0.653966	46851496
Kenya	KEN	2016	0.7438378	0.6553536	47894668
Kenya	KEN	2017	0.7421511	0.6577825	48948140
Kenya	KEN	2018	0.75167525	0.66174215	49953300
Kenya	KEN	2019	0.7728695	0.668738	50951452
Ukraine	UKR	2015	3.8954954	1.4253794	44982568
Ukraine	UKR	2016	3.7513807	1.355526	44833568
Ukraine	UKR	2017	3.5840116	1.2934767	44657260
Ukraine	UKR	2018	3.5254889	1.3326428	44446952
Ukraine	UKR	2019	3.4409058	1.4449855	44211100
United States	USA	2015	2.9275393	1.7291682	324607776
United States	USA	2016	2.9031796	1.7243489	327210208
United States	USA	2017	2.881857	1.7181768	329791232
United States	USA	2018	2.8908424	1.7083375	332140032
United States	USA	2019	2.9241385	1.6964172	334319680
